127.0.0.1 - - [03/Jan/2020:09:27:53 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:27:54 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:35:34 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:49 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:37:07 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:37:56 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:35 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:38 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:40 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:41 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:52 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:52 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:27 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
