127.0.0.1 - - [08/Jan/2020:09:48:08 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:11 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:52 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:54 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:54 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:55 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:56 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:48:56 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:29 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:30 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:31 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:31 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:32 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2020:09:49:33 +0900] "GET /clientweb/js_basic/js_date_test01.html HTTP/1.1" 304 -
