0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:06:37 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:06:37 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:38 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:38 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:21 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:21 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:53 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:53 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:10:37 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:10:37 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:27 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:45 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:45 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
