127.0.0.1 - - [06/Jan/2020:10:18:28 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:18:29 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:18:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:18 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:18 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:33 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:34 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:34 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:43 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:21:09 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:21:29 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:22:15 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:17 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:17 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
